날짜,별점,스킨타입,태그,리뷰내용,product_name,product_type,price,raw_text,clean_text,quality_score,length,korean_ratio,special_ratio,quality_grade,flags
2026.01.22,5점,"트러블성, 봄웜톤, 트러블",,좋다해서 산 것 중에 진짜 좋은거 없었는데 얘는 맑은데? 쫀쫀해요. 중요한 날은 레이어하면 화장이 아주 쫀쫀하게 잘 먹는답니다?,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,좋다해서 산 것 중에 진짜 좋은거 없었는데 얘는 맑은데? 쫀쫀해요. 중요한 날은 레이어하면 화장이 아주 쫀쫀하게 잘 먹는답니다?,좋다해서 산 것 중에 진짜 좋은거 없었는데 얘는 맑은데? 쫀쫀해요. 중요한 날은 레이어하면 화장이 아주 쫀쫀하게 잘 먹는답니다?,1.0,71,0.7183098591549296,0.04225352112676056,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.21,5점,"복합성, 웜톤, 각질, 트러블",,"아누아 내사랑
너무 좋아요 ㅎㅎ
항상 재구매 해서 택배 받고 있습니다
행사 많이 해주세요🥹♥️🤍",아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,"아누아 내사랑
너무 좋아요 ㅎㅎ
항상 재구매 해서 택배 받고 있습니다
행사 많이 해주세요🥹♥️🤍",아누아 내사랑 너무 좋아요 항상 재구매 해서 택배 받고 있습니다 행사 많이 해주세요,1.0,46,0.7391304347826086,0.058823529411764705,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.14,5점,"건성, 겨울쿨톤, 미백, 각질",한달이상사용,"이것도 언플 오지게된것치곤 효과는 그닥
다른거 사세요 돈 아끼세용~",아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,"이것도 언플 오지게된것치곤 효과는 그닥
다른거 사세요 돈 아끼세용~",이것도 언플 오지게된것치곤 효과는 그닥 다른거 사세요 돈 아끼세용,1.0,36,0.7777777777777778,0.02702702702702703,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.21,5점,"복합성, 겨울쿨톤, 잡티, 미백",,올영 라이브때 할인해서 바로 구매했어요! 요즘 엄청 유명하다고 들었는데 여행용으로도 사이즈 딱 좋을거 같아요.,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,올영 라이브때 할인해서 바로 구매했어요! 요즘 엄청 유명하다고 들었는데 여행용으로도 사이즈 딱 좋을거 같아요.,올영 라이브때 할인해서 바로 구매했어요! 요즘 엄청 유명하다고 들었는데 여행용으로도 사이즈 딱 좋을거 같아요.,1.0,61,0.7540983606557377,0.03278688524590164,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.06,3점,"복합성, 겨울쿨톤, 트러블, 민감성",,"전 이거 피부 컨디션 좋은 날에만 골라서 사용해야 해요
저는 좁쌀 여드름 자주 올라오고 예민한 피부라서 피부결이
좋지 않고 수분 부족형 지성 타입이라 기초 관리가 어려워요

트러블도 많이 안 올라오고 피부결도 오돌토돌한 느낌 없이
컨디션 좋은 날에는 이 세럼 발라주고 자고 일어나면 확실히
흡수가 잘 되고 피부에 잘 맞는지 피부 상태가 훨씬 더 좋아져요

트러블 올라오고 좀 따갑다 싶은 날에도 이거 바르면 진정되고
자고 일어나면 또 좋아져있겠지 하고 바를 때는 매번 더 심하게
뒤집어지고 여드름도 아프게 화농성으로 변하고 많이 안 좋더라고요

다른 기초 제품들은 컨디션 따라서 사용감이 이렇게까지 천지차이 났던 건 없었는데 사용하면서 정말 신기했고 피부 상태가 꼭 괜찮은 날에만 골라서 발라주고 있어요",아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,"전 이거 피부 컨디션 좋은 날에만 골라서 사용해야 해요
저는 좁쌀 여드름 자주 올라오고 예민한 피부라서 피부결이
좋지 않고 수분 부족형 지성 타입이라 기초 관리가 어려워요

트러블도 많이 안 올라오고 피부결도 오돌토돌한 느낌 없이
컨디션 좋은 날에는 이 세럼 발라주고 자고 일어나면 확실히
흡수가 잘 되고 피부에 잘 맞는지 피부 상태가 훨씬 더 좋아져요

트러블 올라오고 좀 따갑다 싶은 날에도 이거 바르면 진정되고
자고 일어나면 또 좋아져있겠지 하고 바를 때는 매번 더 심하게
뒤집어지고 여드름도 아프게 화농성으로 변하고 많이 안 좋더라고요

다른 기초 제품들은 컨디션 따라서 사용감이 이렇게까지 천지차이 났던 건 없었는데 사용하면서 정말 신기했고 피부 상태가 꼭 괜찮은 날에만 골라서 발라주고 있어요",전 이거 피부 컨디션 좋은 날에만 골라서 사용해야 해요 저는 좁쌀 여드름 자주 올라오고 예민한 피부라서 피부결이 좋지 않고 수분 부족형 지성 타입이라 기초 관리가 어려워요 트러블도 많이 안 올라오고 피부결도 오돌토돌한 느낌 없이 컨디션 좋은 날에는 이 세럼 발라주고 자고 일어나면 확실히 흡수가 잘 되고 피부에 잘 맞는지 피부 상태가 훨씬 더 좋아져요 트러블 올라오고 좀 따갑다 싶은 날에도 이거 바르면 진정되고 자고 일어나면 또 좋아져있겠지 하고 바를 때는 매번 더 심하게 뒤집어지고 여드름도 아프게 화농성으로 변하고 많이 안 좋더라고요 다른 기초 제품들은 컨디션 따라서 사용감이 이렇게까지 천지차이 났던 건 없었는데 사용하면서 정말 신기했고 피부 상태가 꼭 괜찮은 날에만 골라서 발라주고 있어요,1.0,390,0.7384615384615385,0.0,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.22,5점,,재구매,"한겹바르고난 직후 피부,안바른피부 순서대로 에용
수부지인데 속겅조 잘 잡아주는것 같아요<~

흡수 시켜줄때까지는 좀 끈적 거릴수도 있는데
잘 흡수시켜주고나면 피부가 쭨ㄴ쭨해져요

한번으론 성에 안찰때가 있는데 두세번 레이어링 해주면
화잘먹 피부 완성임댜 ~

저는 잘 못느꼈는데 저희 아빠랑 남편은 이것만 들어가면
눈아프다고 난리네유;;(",아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,"한겹바르고난 직후 피부,안바른피부 순서대로 에용
수부지인데 속겅조 잘 잡아주는것 같아요<~

흡수 시켜줄때까지는 좀 끈적 거릴수도 있는데
잘 흡수시켜주고나면 피부가 쭨ㄴ쭨해져요

한번으론 성에 안찰때가 있는데 두세번 레이어링 해주면
화잘먹 피부 완성임댜 ~

저는 잘 못느꼈는데 저희 아빠랑 남편은 이것만 들어가면
눈아프다고 난리네유;;(","한겹바르고난 직후 피부,안바른피부 순서대로 에용 수부지인데 속겅조 잘 잡아주는것 같아요 흡수 시켜줄때까지는 좀 끈적 거릴수도 있는데 잘 흡수시켜주고나면 피부가 쭨쭨해져요 한번으론 성에 안찰때가 있는데 두세번 레이어링 해주면 화잘먹 피부 완성임댜 저는 잘 못느꼈는데 저희 아빠랑 남편은 이것만 들어가면 눈아프다고 난리네유",1.0,178,0.7752808988764045,0.043010752688172046,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.20,5점,"건성, 쿨톤, 잡티, 미백",,"인기가 많길래 사서 써봤는데 보습에 좋은거같아오🩵
보이는데로 PDRN이랑 히알루론산이 함유되어 있어서
요즘 피디알엔 유행이잖아요? ㅋㅎㅋ🫧
수분크림까지 줘서 좋습니당 !!
완전 물체형이라서 얹으면 흘러요오 흡수도 잡 됩니당
안바른거 같은 느낌~",아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,"인기가 많길래 사서 써봤는데 보습에 좋은거같아오🩵
보이는데로 PDRN이랑 히알루론산이 함유되어 있어서
요즘 피디알엔 유행이잖아요? ㅋㅎㅋ🫧
수분크림까지 줘서 좋습니당 !!
완전 물체형이라서 얹으면 흘러요오 흡수도 잡 됩니당
안바른거 같은 느낌~",인기가 많길래 사서 써봤는데 보습에 좋은거같아오 보이는데로 PDRN이랑 히알루론산이 함유되어 있어서 요즘 피디알엔 유행이잖아요? 수분크림까지 줘서 좋습니당 ! 완전 물체형이라서 얹으면 흘러요오 흡수도 잡 됩니당 안바른거 같은 느낌,1.0,128,0.7421875,0.0661764705882353,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2025.12.30,5점,"복합성, 여름쿨톤, 각질, 트러블",한달이상사용,"오랜만에 고향에 갔더니
피부가 왜 이렇게 광이 나고 매끈매끈해졌냐고
엄마가 묻더라구요ㅋㅋㅋ
바꾼건 아누아 크림이랑 앰플 밖에 없어서
이거 좋다고 써보랬더니 엄마도 좋다고 잘쓰시더라구요
그랬다가 일본 여행가셔서 아누아 (비싸게) 사오신 울 엄마..
가격 어떠냐고 카톡 왔는데 제가 늦게봐서ㅠㅠ 이미 결제했다고 하시네요...ㅋㅋㅋ ㅠㅠ 한국걸 왜 일본가서 더 비싸게 샀냐했더니🤷‍♀️🤷‍♀️🤷‍♀️
몰랐대요 ...!!!!!일본건줄 알았대요😭😭😭
젊은 사람들은 다 아는데 엄마들은 아직 모르나봐요 ㅠ
아누아 홍보 더해!!!!!!😡😡
암튼 일본가서도 사올만큼ㅋㅋㅋ (?) 좋은 제품입니다...
지성인데 무겁지 않고 속까지 꽉꽉 채워줌👍",아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,"오랜만에 고향에 갔더니
피부가 왜 이렇게 광이 나고 매끈매끈해졌냐고
엄마가 묻더라구요ㅋㅋㅋ
바꾼건 아누아 크림이랑 앰플 밖에 없어서
이거 좋다고 써보랬더니 엄마도 좋다고 잘쓰시더라구요
그랬다가 일본 여행가셔서 아누아 (비싸게) 사오신 울 엄마..
가격 어떠냐고 카톡 왔는데 제가 늦게봐서ㅠㅠ 이미 결제했다고 하시네요...ㅋㅋㅋ ㅠㅠ 한국걸 왜 일본가서 더 비싸게 샀냐했더니🤷‍♀️🤷‍♀️🤷‍♀️
몰랐대요 ...!!!!!일본건줄 알았대요😭😭😭
젊은 사람들은 다 아는데 엄마들은 아직 모르나봐요 ㅠ
아누아 홍보 더해!!!!!!😡😡
암튼 일본가서도 사올만큼ㅋㅋㅋ (?) 좋은 제품입니다...
지성인데 무겁지 않고 속까지 꽉꽉 채워줌👍",오랜만에 고향에 갔더니 피부가 왜 이렇게 광이 나고 매끈매끈해졌냐고 엄마가 묻더라구요 바꾼건 아누아 크림이랑 앰플 밖에 없어서 이거 좋다고 써보랬더니 엄마도 좋다고 잘쓰시더라구요 그랬다가 일본 여행가셔서 아누아 비싸게 사오신 울 엄마. 가격 어떠냐고 카톡 왔는데 제가 늦게봐서 이미 결제했다고 하시네요 한국걸 왜 일본가서 더 비싸게 샀냐했더니 몰랐대요 일본건줄 알았대요 젊은 사람들은 다 아는데 엄마들은 아직 모르나봐요 아누아 홍보 더해 암튼 일본가서도 사올만큼 좋은 제품입니다 지성인데 무겁지 않고 속까지 꽉꽉 채워줌,1.0,290,0.7586206896551724,0.056962025316455694,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.25,5점,"건성, 가을웜톤, 잡티, 트러블",한달이상사용,"* 피부 건조한 편이라 샤워하고나오면
바로 미스트뿌리고 수분세럼 발라주는데
아누아 히알루론산 세럼 좋아요!

* 히알루론산 성분이 속건조 잡아주기도 좋고
또 가벼우면서 흡수도 빨라서
그 이후에 다른 화장품들 발라도 잘 레이어드해서
흡수되서 만족해요!",아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,"* 피부 건조한 편이라 샤워하고나오면
바로 미스트뿌리고 수분세럼 발라주는데
아누아 히알루론산 세럼 좋아요!

* 히알루론산 성분이 속건조 잡아주기도 좋고
또 가벼우면서 흡수도 빨라서
그 이후에 다른 화장품들 발라도 잘 레이어드해서
흡수되서 만족해요!",피부 건조한 편이라 샤워하고나오면 바로 미스트뿌리고 수분세럼 발라주는데 아누아 히알루론산 세럼 좋아요! 히알루론산 성분이 속건조 잡아주기도 좋고 또 가벼우면서 흡수도 빨라서 그 이후에 다른 화장품들 발라도 잘 레이어드해서 흡수되서 만족해요!,1.0,134,0.7686567164179104,0.028985507246376812,Very High,"emoji_removed,repeat_normalized,typo_corrected"
2026.01.22,5점,"건성, 웜톤, 잡티, 아토피",,아누아 앰플은 전에 한번 사용해보고 너무 좋았어서 겨울되고 얼굴 건조해져서 재구매했어요.,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),세럼,27500,아누아 앰플은 전에 한번 사용해보고 너무 좋았어서 겨울되고 얼굴 건조해져서 재구매했어요.,아누아 앰플은 전에 한번 사용해보고 너무 좋았어서 겨울되고 얼굴 건조해져서 재구매했어요.,1.0,49,0.7755102040816326,0.02040816326530612,Very High,"emoji_removed,repeat_normalized,typo_corrected"
