리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
AH_250805_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.05,-,,재구매,피부 고민 해결,진정/장벽,2,5점,긍정,1,진정,진정이 필요하다 싶어서,개효놈임 난 저녁에 쓰는데 진정이 필요하다 싶어서 쓰면 그냥 담날에 피부 개좋아짐 계절 상관없이 사계절 내내 써도 개조음 리들샷이랑 같이 쓰면 더 효과 잘 봄. 민감성 친구들도 좋아서 따라사고 군대 간 주변 오빠들도 PX에서 사재기해서 사다주고 쓰는 제품 개추 박을게요,1.0,"민감, 진정"
AH_250805_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.05,-,,재구매,피부 자극,순함/저자극,2,5점,긍정,1,민감,민감성 친구들도 좋아서,개효놈임 난 저녁에 쓰는데 진정이 필요하다 싶어서 쓰면 그냥 담날에 피부 개좋아짐 계절 상관없이 사계절 내내 써도 개조음 리들샷이랑 같이 쓰면 더 효과 잘 봄. 민감성 친구들도 좋아서 따라사고 군대 간 주변 오빠들도 PX에서 사재기해서 사다주고 쓰는 제품 개추 박을게요,1.0,"민감, 진정"
AH_250806_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.06,-,,한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,2,추천,직원분 추천 이후로 계속 이 앰플만 써요 무난하니 좋네요 추천이요,직원분 추천 이후로 계속 이 앰플만 써요 무난하니 좋네요 추천이요,2.0,추천
AH_250806_002,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.06,-,,재구매,구매 가치/편의,상황/편의,1,5점,긍정,1,"메이크업, 화장",메이크업 하기전에 바르면 기초 화장에도 좋아서,2번째 구매 해서 사용중입니다 저녁에 자기전에 하면 아침에 피부가 좋고 메이크업 하기전에 바르면 기초 화장에도 좋아서 피부화장도 잘돼서 좋습니다,0.5,"메이크업, 화장"
AH_250806_002,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.06,-,,재구매,구매 가치/편의,상황/편의,1,5점,보통,0,화장,피부화장도 잘돼서,2번째 구매 해서 사용중입니다 저녁에 자기전에 하면 아침에 피부가 좋고 메이크업 하기전에 바르면 기초 화장에도 좋아서 피부화장도 잘돼서 좋습니다,0.5,"메이크업, 화장"
AH_250808_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.08,-,,한달이상사용,제형/사용감,흡수/발림성,3,4점,보통,0,제형,찐득한 제형이라 좀 무겁다고,찐득한 제형이라 좀 무겁다고 느껴지긴 하는데 그래도 진정도 어느정도 괜찮고 전체적으로 나쁘지 않은 것 같아요 촉촉하고 진정도 잘돼서 무난무난하게 좋아요,1.0,"제형, 진정, 촉촉"
AH_250808_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.08,-,,한달이상사용,피부 고민 해결,진정/장벽,3,4점,긍정,2,진정,그래도 진정도 어느정도 괜찮고,찐득한 제형이라 좀 무겁다고 느껴지긴 하는데 그래도 진정도 어느정도 괜찮고 전체적으로 나쁘지 않은 것 같아요 촉촉하고 진정도 잘돼서 무난무난하게 좋아요,1.0,"제형, 진정, 촉촉"
AH_250808_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.08,-,,한달이상사용,수분/유분 밸런스,보습/속건조,3,4점,긍정,1,촉촉,전체적으로 나쁘지 않은 것 같아요 촉촉하고,찐득한 제형이라 좀 무겁다고 느껴지긴 하는데 그래도 진정도 어느정도 괜찮고 전체적으로 나쁘지 않은 것 같아요 촉촉하고 진정도 잘돼서 무난무난하게 좋아요,1.0,"제형, 진정, 촉촉"
AH_250808_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.08,-,,한달이상사용,피부 고민 해결,진정/장벽,3,4점,긍정,1,진정,진정도 잘돼서,찐득한 제형이라 좀 무겁다고 느껴지긴 하는데 그래도 진정도 어느정도 괜찮고 전체적으로 나쁘지 않은 것 같아요 촉촉하고 진정도 잘돼서 무난무난하게 좋아요,1.0,"제형, 진정, 촉촉"
AH_250808_002,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.08,-,,한달이상사용,"수분/유분 밸런스, 제형/사용감, 피부 고민 해결","보습/속건조, 진정/장벽, 흡수/발림성",3,5점,긍정,2,"보습, 진정, 흡수","다른 앰플에비해 흡수력이 좋고 보습,진정이 잘돼더라고요","다른 앰플에비해 흡수력이 좋고 보습,진정이 잘돼더라고요",2.0,"보습, 진정, 흡수"
AH_250808_003,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.08,-,,,구매 가치/편의,추천/재구매,1,5점,긍정,5,재구매,좋아요 잘써요 효과는 절 모르갰지먼 잘쓰는템이에요 재구매항거같어요,좋아요 잘써요 효과는 절 모르갰지먼 잘쓰는템이에요 재구매항거같어요,5.0,재구매
AH_250810_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.10,-,,재구매,피부 자극,순함/저자극,1,5점,긍정,2,순해,2통 째 입니다 이건 진짜 순해서,2통 째 입니다 이건 진짜 순해서 자극 1도 없어요 이 제품 솔직히 너무 좋아서 할 말이 없습니다 집에 100개 쟁여둬서 쓰고 싶네요,2.0,"순해, 자극"
AH_250810_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.10,-,,재구매,피부 자극,자극/부작용,1,5점,긍정,2,자극,자극 1도 없어요 이 제품 솔직히 너무 좋아서,2통 째 입니다 이건 진짜 순해서 자극 1도 없어요 이 제품 솔직히 너무 좋아서 할 말이 없습니다 집에 100개 쟁여둬서 쓰고 싶네요,2.0,"순해, 자극"
AH_250811_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.11,-,,,피부 고민 해결,트러블/모공,2,5점,긍정,2,트러블,트러블이 많이 줄어들긴 했는데,저는 사용하고 트러블이 많이 줄어들긴 했는데 저한테는 조금 끈적거리는 것 같네요.,1.0,"끈적, 트러블"
AH_250811_001,앰플,어성초 80 수분 진정 앰플 30ml,2025.08.11,-,,,제형/사용감,끈적임/밀림,2,5점,보통,0,끈적,저한테는 조금 끈적거리는 것 같네요,저는 사용하고 트러블이 많이 줄어들긴 했는데 저한테는 조금 끈적거리는 것 같네요.,1.0,"끈적, 트러블"
