제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
어성초 80 수분 진정 앰플 30ml,가을웜톤,3명,"추천/재구매 (3)
가성비/가격 (1)
진정/장벽 (1)
순함/저자극 (1)",-,매우만족,3.25
어성초 80 수분 진정 앰플 30ml,각질,1명,"흡수/발림성 (2)
진정/장벽 (1)
트러블/모공 (1)",트러블/모공 (1),보통,0.38
어성초 80 수분 진정 앰플 30ml,건성,3명,"추천/재구매 (2)
흡수/발림성 (1)",-,매우만족,2.67
어성초 80 수분 진정 앰플 30ml,겨울쿨톤,2명,"흡수/발림성 (2)
보습/속건조 (1)
진정/장벽 (1)
트러블/모공 (1)
추천/재구매 (1)",-,매우만족,1.67
어성초 80 수분 진정 앰플 30ml,모공,1명,"순함/저자극 (1)
추천/재구매 (1)",-,매우만족,1.5
어성초 80 수분 진정 앰플 30ml,미백,3명,"추천/재구매 (2)
흡수/발림성 (1)",-,매우만족,2.67
어성초 80 수분 진정 앰플 30ml,민감성,3명,"진정/장벽 (3)
가성비/가격 (1)
끈적임/밀림 (1)
보습/속건조 (1)
추천/재구매 (1)",-,매우만족,1.6
어성초 80 수분 진정 앰플 30ml,복합성,5명,"흡수/발림성 (8)
보습/속건조 (2)
진정/장벽 (2)
트러블/모공 (2)
추천/재구매 (2)","트러블/모공 (1)
상황/편의 (1)
유분/피지 (1)",만족,0.89
어성초 80 수분 진정 앰플 30ml,봄웜톤,2명,"진정/장벽 (2)
가성비/가격 (1)",추천/재구매 (1),만족,1.25
어성초 80 수분 진정 앰플 30ml,블랙헤드,3명,"흡수/발림성 (5)
추천/재구매 (2)
상황/편의 (1)
가성비/가격 (1)
보습/속건조 (1)","상황/편의 (1)
유분/피지 (1)",만족,1.33
어성초 80 수분 진정 앰플 30ml,여름쿨톤,3명,"진정/장벽 (2)
끈적임/밀림 (1)
보습/속건조 (1)
추천/재구매 (1)",-,만족,1.25
어성초 80 수분 진정 앰플 30ml,잡티,7명,"진정/장벽 (4)
추천/재구매 (3)
흡수/발림성 (2)
보습/속건조 (2)
트러블/모공 (1)",추천/재구매 (1),매우만족,1.7
어성초 80 수분 진정 앰플 30ml,재구매,26명,"진정/장벽 (16)
보습/속건조 (7)
추천/재구매 (7)
자극/부작용 (6)
순함/저자극 (6)","트러블/모공 (2)
순함/저자극 (1)
자극/부작용 (1)",매우만족,1.68
어성초 80 수분 진정 앰플 30ml,정보없음,52명,"진정/장벽 (22)
추천/재구매 (21)
흡수/발림성 (11)
보습/속건조 (10)
트러블/모공 (9)","트러블/모공 (3)
자극/부작용 (2)
순함/저자극 (1)
진정/장벽 (1)
가성비/가격 (1)",만족,1.31
어성초 80 수분 진정 앰플 30ml,주름,1명,추천/재구매 (1),-,만족,1.0
어성초 80 수분 진정 앰플 30ml,지성,1명,"순함/저자극 (1)
추천/재구매 (1)",-,매우만족,1.5
어성초 80 수분 진정 앰플 30ml,쿨톤,4명,"진정/장벽 (2)
흡수/발림성 (2)
보습/속건조 (1)
가성비/가격 (1)
상황/편의 (1)","순함/저자극 (1)
자극/부작용 (1)
트러블/모공 (1)",보통,0.2
어성초 80 수분 진정 앰플 30ml,트러블,6명,"진정/장벽 (7)
흡수/발림성 (3)
가성비/가격 (2)
트러블/모공 (2)
보습/속건조 (2)","추천/재구매 (1)
트러블/모공 (1)",만족,1.12
어성초 80 수분 진정 앰플 30ml,트러블성,4명,"진정/장벽 (3)
추천/재구매 (2)
가성비/가격 (1)
순함/저자극 (1)
자극/부작용 (1)",추천/재구매 (1),매우만족,2.57
어성초 80 수분 진정 앰플 30ml,피지과다,4명,"흡수/발림성 (5)
추천/재구매 (3)
순함/저자극 (2)
상황/편의 (1)
가성비/가격 (1)","상황/편의 (1)
유분/피지 (1)",만족,1.36
어성초 80 수분 진정 앰플 30ml,한달이상사용,40명,"진정/장벽 (27)
추천/재구매 (13)
보습/속건조 (12)
흡수/발림성 (12)
자극/부작용 (9)","트러블/모공 (5)
유분/피지 (2)
추천/재구매 (1)
진정/장벽 (1)
순함/저자극 (1)",매우만족,1.6
어성초 80 수분 진정 앰플 30ml,"[어성초 80 수분 진정 앰플 30ml 랩업] 참여 유저: (정보없음 52명, 한달이상사용 40명, 재구매 26명, 잡티 7명, 트러블 6명, 복합성 5명, 피지과다 4명, 쿨톤 4명, 트러블성 4명, 가을웜톤 3명, 미백 3명, 민감성 3명, 건성 3명, 블랙헤드 3명, 여름쿨톤 3명, 겨울쿨톤 2명, 봄웜톤 2명, 모공 1명, 각질 1명, 지성 1명, 주름 1명). 이 제품에서 가장 많이 언급된 특징은 '진정/장벽'(으)로, 이에 대해 주로 긍정적인 반응을 보였습니다.",총 115명,★★ 제품 전체 요약 ★★,★★ 제품 전체 요약 ★★,-,1.42
어성초 80 수분 진정 앰플 30ml,"[대표리뷰 1] 한통 다 비우고 작성하는 후기 피부 타입 T존 수부지, U존은 악건성 가끔 올라오는 화농성 여드름 달고 사는 좁쌀.ᵒ ᵒ 피부결이 안 좋은 편이에요 발림성 묽고 미끌끈적해요 금반 흡수되는 타입이고 흠수 되고 나면 피부가 쫀득해져요 사용감이 가벼워서 화장 할 때 발라도 무난해요 효과 음.진정 되는데. 큰 효과는 아니었어요 그렇다고 보습력이 뛰어난 편도 아니구.좁쌀에도 큰 효과는 없었는데 의외로 피부 결 정돈에는 또 괜찮더라구요 그래도 진정 효과를 기대하고 산거라 총평 무난하게 쓰기에는 나쁘지 않지만 굳이 이 돈 주고 민감성 피부에는 잘 맞을것 같아요",밀도: 5,리뷰ID: AH_250825_002,태그: nan,별점: 4점,0.6
어성초 80 수분 진정 앰플 30ml,[대표리뷰 2] 아누아 어성초 80 수분 진정 앰플 정말 만족해요! 민감한 피부에도 자극 없이 촉촉하게 스며들고 붉은기 진정 효과가 눈에 띄게 좋아서 깜짝 놀랐어요 끈적임 없고 가볍게 발리는데 보습감은 오래가서 데일리 앰플로 딱이에요 피부가 편안해지고 촉촉해져서 앞으로도 꾸준히 사용하려구요! 재구매 의사 200,밀도: 5,리뷰ID: AH_250826_002,태그: nan,별점: 5점,2.1
어성초 80 수분 진정 앰플 30ml,"[대표리뷰 3] 피부 타입 T존 수부지, U존은 악건성 가끔 올라오는 화농성 여드름 달고 사는 좁쌀.ᵒ ᵒ 피부결이 안 좋은 편이에요 발림성 미끌미끌 콧물 같은 제형이구 흡수 되고 나면 피부가 쫀쫀해져요 효과 저는 잘 모르겠어요 여러면에서 다 애매한 느낌. 좁쌀, 화농성 진정에도 효과를 못 봤고 피부 결이 좋아지는것두 아니고. 순하고 약간의 보습을 채워주는 느낌만 받았어요 가성비 양 대비 가격 비싼 편인데 이 정도 성능이면 가성비 별루. 총평 어성초 잘 맞으시고 순한거 찾으시면 나쁘지 않을듯 합니다 벗. 나는 효과 못 봄",밀도: 5,리뷰ID: AH_251015_002,태그: 한달이상사용,별점: 4점,0.4
