제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
아누아 피디알엔 히알루론산 캡슐 100 세럼,가을웜톤,8명,"보습/속건조 (7)
추천/재구매 (5)
자극/부작용 (2)
상황/편의 (1)",-,만족,1.14
아누아 피디알엔 히알루론산 캡슐 100 세럼,각질,11명,"보습/속건조 (2)
상황/편의 (2)
추천/재구매 (2)
흡수/발림성 (1)
순함/저자극 (1)","보습/속건조 (1)
흡수/발림성 (1)
순함/저자극 (1)",만족,0.68
아누아 피디알엔 히알루론산 캡슐 100 세럼,건성,19명,"보습/속건조 (10)
추천/재구매 (7)
흡수/발림성 (3)
가성비/가격 (2)
자극/부작용 (2)",-,만족,1.21
아누아 피디알엔 히알루론산 캡슐 100 세럼,겨울쿨톤,6명,"보습/속건조 (5)
추천/재구매 (5)
흡수/발림성 (4)
끈적임/밀림 (1)
가성비/가격 (1)","트러블/모공 (3)
자극/부작용 (1)",만족,0.88
아누아 피디알엔 히알루론산 캡슐 100 세럼,다크서클,2명,"보습/속건조 (1)
추천/재구매 (1)",-,만족,1.0
아누아 피디알엔 히알루론산 캡슐 100 세럼,모공,5명,"보습/속건조 (4)
자극/부작용 (1)
추천/재구매 (1)",-,매우만족,1.57
아누아 피디알엔 히알루론산 캡슐 100 세럼,미백,21명,"보습/속건조 (13)
추천/재구매 (9)
흡수/발림성 (6)
끈적임/밀림 (3)
가성비/가격 (2)",-,매우만족,1.81
아누아 피디알엔 히알루론산 캡슐 100 세럼,민감성,16명,"보습/속건조 (13)
추천/재구매 (7)
상황/편의 (5)
자극/부작용 (4)
흡수/발림성 (3)","트러블/모공 (3)
자극/부작용 (1)",만족,1.09
아누아 피디알엔 히알루론산 캡슐 100 세럼,복합성,38명,"보습/속건조 (30)
추천/재구매 (13)
흡수/발림성 (13)
상황/편의 (6)
자극/부작용 (4)","트러블/모공 (3)
보습/속건조 (1)
자극/부작용 (1)
흡수/발림성 (1)
순함/저자극 (1)",만족,1.16
아누아 피디알엔 히알루론산 캡슐 100 세럼,봄웜톤,13명,"상황/편의 (7)
흡수/발림성 (7)
보습/속건조 (6)
자극/부작용 (2)
순함/저자극 (2)",-,매우만족,1.65
